CODE,INTERSTATE,INTRASTATE,Rate
201200,0.01554,0.01554,
201202,0.00467,0.00467,
201203,0.00774,0.00774,
201204,0.00887,0.00887,
201205,0.00469,0.00469,
201206,0.00469,0.00469,
201207,0.00375,0.00375,
201208,0.0043,0.0043,
201209,0.01554,0.01554,
201210,0.00333,0.00333,
201212,0.00469,0.00469,
201213,0.00375,0.00375,
201214,0.0043,0.0043,
201215,0.01461,0.01461,
201216,0.01554,0.01554,
201217,0.01554,0.01554,
201218,0.0043,0.0043,
201219,0.00467,0.00467,
201220,0.0043,0.0043,
201221,0.00333,0.00333,
201222,0.01554,0.01554,
201223,0.01554,0.01554,
201224,0.01554,0.01554,
201225,0.01554,0.01554,
201226,0.01554,0.01554,
201227,0.01554,0.01554,
201228,0.00333,0.00333,
201229,0.01554,0.01554,
201230,0.00375,0.00375,
201231,0.00333,0.00333,
201232,0.00375,0.00375,
201233,0.0052,0.0052,
201234,0.00333,0.00333,
201235,0.00467,0.00467,
201236,0.01554,0.01554,
201237,0.00467,0.00467,
201238,0.0052,0.0052,
201239,0.01554,0.01554,
201240,0.00375,0.00375,
201241,0.00375,0.00375,
201242,0.01554,0.01554,
201243,0.01554,0.01554,
201244,0.01554,0.01554,
201245,0.0043,0.0043,
201246,0.01554,0.01554,
201247,0.00375,0.00375,
201248,0.00375,0.00375,
201249,0.00375,0.00375,
201250,0.00375,0.00375,
201251,0.01554,0.01554,
201252,0.00333,0.00333,
201253,0.0043,0.0043,
201254,0.00333,0.00333,
201255,0.00695,0.00695,
201256,0.00333,0.00333,
201257,0.00333,0.00333,
201258,0.00333,0.00333,
201259,0.00375,0.00375,
201261,0.01554,0.01554,
201262,0.01554,0.01554,
201263,0.01554,0.01554,
201264,0.00375,0.00375,
201265,0.01554,0.01554,
201266,0.00333,0.00333,
201267,0.01196,0.01196,
201268,0.0043,0.0043,
201269,0.01554,0.01554,
201270,0.00333,0.00333,
201271,0.01554,0.01554,
201272,0.01196,0.01196,
201273,0.00375,0.00375,
201274,0.00375,0.00375,
201275,0.00469,0.00469,
201276,0.00467,0.00467,
201277,0.00467,0.00467,
201278,0.00467,0.00467,
201279,0.00469,0.00469,
201280,0.00375,0.00375,
201281,0.0052,0.0052,
201282,0.00611,0.00611,
201283,0.00607,0.00607,
201284,0.01554,0.01554,
201285,0.00892,0.00892,
201286,0.0043,0.0043,
201287,0.01554,0.01554,
201288,0.01554,0.01554,
201289,0.0043,0.0043,
201290,0.0043,0.0043,
201291,0.01554,0.01554,
201292,0.01196,0.01196,
201293,0.00607,0.00607,
201294,0.0043,0.0043,
201295,0.01554,0.01554,
201296,0.01554,0.01554,
201297,0.00946,0.00946,
201298,0.01461,0.01461,
201299,0.00946,0.00946,
201300,0.00946,0.00946,
201301,0.00946,0.00946,
201302,0.01554,0.01554,
201303,0.0043,0.0043,
201304,0.00469,0.00469,
201305,0.00333,0.00333,
201306,0.00375,0.00375,
201307,0.01554,0.01554,
201308,0.00333,0.00333,
201309,0.01554,0.01554,
201310,0.0043,0.0043,
