npanxx,lata,ocn
207763,120,0003
207789,120,0003
207445,120,0004
207923,120,0004
207968,120,0004
207724,120,0005
207334,120,0007
207335,120,0007
207366,120,0007
207526,120,0007
207269,120,0010
207862,120,0010
207277,120,0011
207683,120,0011
207938,120,0011
207268,120,0015
207293,120,0015
207377,120,0015
207395,120,0015
207524,120,0015
207933,120,0015
207946,120,0015
207224,120,0019
207225,120,0019
207336,120,0019
207388,120,0019
207597,120,0019
207674,120,0019
207428,120,0020
207657,120,0020
207926,120,0020
207247,120,0022
207727,120,0022
207929,120,0022
207235,120,0024
207237,120,0024
207243,120,0024
207246,120,0024
207265,120,0024
207297,120,0024
207362,120,0024
207397,120,0024
207566,120,0024
207585,120,0024
207587,120,0024
207628,120,0024
207630,120,0024
207634,120,0024
207635,120,0024
207639,120,0024
207643,120,0024
207652,120,0024
207654,120,0024
207678,120,0024
207684,120,0024
207452,120,0025
207637,120,0025
207642,120,0025
207648,120,0025
207675,120,0025
207787,120,0025
207537,120,0027
207584,120,0027
207638,120,0027
207234,120,0029
207437,120,0029
207568,120,0029
207948,120,0029
207273,120,0031
207278,120,0034
207296,120,0034
207379,120,0034
207434,120,0034
207385,120,038F
207619,120,038F
207805,120,038F
207501,120,055F
207656,120,055F
207703,120,055F
207704,120,055F
207715,120,055F
207994,120,055F
207612,120,1255
207661,120,1255
207687,120,1255
207699,120,1255
207716,120,1255
207790,120,1255
207801,120,1255
207803,120,1255
207860,120,1255
207899,120,1255
207914,120,174A
207915,120,174A
207916,120,174A
207917,120,174A
207918,120,174A
207208,120,2733
207222,120,2733
207321,120,2733
207376,120,2733
207407,120,2733
207430,120,2733
207523,120,2733
207571,120,2733
207607,120,2733
207686,120,2733
207735,120,2733
207894,120,2733
207850,120,313C
207957,120,313C
207529,120,3311
207563,120,3311
207586,120,3311
207644,120,3311
207677,120,3311
207785,120,3311
207627,120,3312
207655,120,3312
207693,120,3312
207998,120,3312
207547,120,3313
207392,120,3314
207527,120,3314
207533,120,3314
207545,120,3314
207665,120,3314
207824,120,3314
207836,120,3314
207875,120,3314
207966,120,3314
207257,120,3315
207394,120,3315
207732,120,3315
207826,120,3315
207884,120,3315
207342,120,3316
207365,120,3316
207382,120,3316
207398,120,3316
207444,120,3316
207463,120,3316
207528,120,3316
207567,120,3316
207589,120,3316
207697,120,3316
207722,120,3316
207736,120,3316
207738,120,3316
207757,120,3316
207765,120,3316
207834,120,3316
207845,120,3316
207925,120,3316
207928,120,3316
207935,120,3316
207993,120,3316
603694,120,3316
603939,120,3316
207347,120,3754
207591,120,3754
207370,120,382D
207536,120,382D
207613,120,382D
207618,120,382D
207206,120,4036
207229,120,4036
207245,120,4036
207250,120,4036
207251,120,4036
207266,120,4036
207292,120,4036
207312,120,4036
207318,120,4036
207329,120,4036
207391,120,4036
207404,120,4036
207406,120,4036
207415,120,4036
207420,120,4036
207572,120,4036
207590,120,4036
207608,120,4036
207632,120,4036
207651,120,4036
207671,120,4036
207702,120,4036
207749,120,4036
207752,120,4036
207807,120,4036
207831,120,4036
207837,120,4036
207838,120,4036
207841,120,4036
207902,120,4036
207939,120,4036
207952,120,4036
207355,120,4121
207403,120,4121
207489,120,4121
207553,120,4121
207620,120,4121
207669,120,4121
207679,120,4121
207680,120,4121
207689,120,4121
207817,120,4121
207887,120,4121
207889,120,4121
207992,120,4121
207809,120,414E
207241,120,453G
207223,120,5111
207230,120,5111
207236,120,5111
207238,120,5111
207244,120,5111
207253,120,5111
207255,120,5111
207259,120,5111
207262,120,5111
207264,120,5111
207276,120,5111
207281,120,5111
207282,120,5111
207283,120,5111
207284,120,5111
207285,120,5111
207286,120,5111
207287,120,5111
207288,120,5111
207294,120,5111
207324,120,5111
207325,120,5111
207326,120,5111
207327,120,5111
207328,120,5111
207338,120,5111
207344,120,5111
207345,120,5111
207346,120,5111
207348,120,5111
207351,120,5111
207353,120,5111
207354,120,5111
207359,120,5111
207361,120,5111
207363,120,5111
207364,120,5111
207367,120,5111
207368,120,5111
207369,120,5111
207371,120,5111
207372,120,5111
207373,120,5111
207374,120,5111
207375,120,5111
207378,120,5111
207384,120,5111
207386,120,5111
207389,120,5111
207396,120,5111
207422,120,5111
207425,120,5111
207426,120,5111
207427,120,5111
207429,120,5111
207435,120,5111
207442,120,5111
207443,120,5111
207448,120,5111
207453,120,5111
207454,120,5111
207455,120,5111
207456,120,5111
207457,120,5111
207459,120,5111
207465,120,5111
207467,120,5111
207469,120,5111
207471,120,5111
207472,120,5111
207473,120,5111
207474,120,5111
207476,120,5111
207477,120,5111
207482,120,5111
207483,120,5111
207487,120,5111
207488,120,5111
207490,120,5111
207492,120,5111
207493,120,5111
207495,120,5111
207496,120,5111
207497,120,5111
207498,120,5111
207499,120,5111
207521,120,5111
207525,120,5111
207532,120,5111
207534,120,5111
207535,120,5111
207538,120,5111
207539,120,5111
207541,120,5111
207543,120,5111
207546,120,5111
207548,120,5111
207549,120,5111
207552,120,5111
207554,120,5111
207561,120,5111
207562,120,5111
207564,120,5111
207565,120,5111
207569,120,5111
207574,120,5111
207575,120,5111
207580,120,5111
207581,120,5111
207582,120,5111
207583,120,5111
207588,120,5111
207593,120,5111
207594,120,5111
207596,120,5111
207621,120,5111
207622,120,5111
207623,120,5111
207624,120,5111
207625,120,5111
207626,120,5111
207629,120,5111
207633,120,5111
207636,120,5111
207641,120,5111
207645,120,5111
207646,120,5111
207647,120,5111
207662,120,5111
207663,120,5111
207664,120,5111
207666,120,5111
207667,120,5111
207668,120,5111
207672,120,5111
207676,120,5111
207681,120,5111
207685,120,5111
207688,120,5111
207695,120,5111
207696,120,5111
207720,120,5111
207721,120,5111
207723,120,5111
207725,120,5111
207726,120,5111
207728,120,5111
207729,120,5111
207733,120,5111
207734,120,5111
207737,120,5111
207741,120,5111
207743,120,5111
207744,120,5111
207746,120,5111
207750,120,5111
207753,120,5111
207755,120,5111
207756,120,5111
207758,120,5111
207759,120,5111
207760,120,5111
207761,120,5111
207762,120,5111
207764,120,5111
207766,120,5111
207767,120,5111
207768,120,5111
207769,120,5111
207770,120,5111
207771,120,5111
207772,120,5111
207773,120,5111
207774,120,5111
207775,120,5111
207776,120,5111
207777,120,5111
207778,120,5111
207779,120,5111
207780,120,5111
207781,120,5111
207782,120,5111
207783,120,5111
207784,120,5111
207786,120,5111
207788,120,5111
207791,120,5111
207792,120,5111
207793,120,5111
207794,120,5111
207795,120,5111
207796,120,5111
207797,120,5111
207798,120,5111
207799,120,5111
207818,120,5111
207821,120,5111
207822,120,5111
207823,120,5111
207825,120,5111
207827,120,5111
207828,120,5111
207829,120,5111
207832,120,5111
207833,120,5111
207839,120,5111
207842,120,5111
207843,120,5111
207846,120,5111
207847,120,5111
207848,120,5111
207851,120,5111
207853,120,5111
207854,120,5111
207856,120,5111
207857,120,5111
207858,120,5111
207859,120,5111
207861,120,5111
207863,120,5111
207864,120,5111
207865,120,5111
207866,120,5111
207867,120,5111
207868,120,5111
207869,120,5111
207870,120,5111
207871,120,5111
207872,120,5111
207873,120,5111
207874,120,5111
207876,120,5111
207877,120,5111
207878,120,5111
207879,120,5111
207882,120,5111
207883,120,5111
207885,120,5111
207892,120,5111
207893,120,5111
207895,120,5111
207896,120,5111
207897,120,5111
207921,120,5111
207924,120,5111
207930,120,5111
207934,120,5111
207937,120,5111
207941,120,5111
207942,120,5111
207943,120,5111
207945,120,5111
207947,120,5111
207963,120,5111
207965,120,5111
207967,120,5111
207973,120,5111
207974,120,5111
207985,120,5111
207989,120,5111
207990,120,5111
207991,120,5111
207997,120,5111
207999,120,5111
207358,120,512F
207806,120,512F
207254,120,5205
207303,120,5205
207307,120,5205
207333,120,5205
207440,120,5205
207513,120,5205
207605,120,5205
207739,120,5205
207907,120,5205
207922,120,5205
207412,120,578C
207494,120,578C
207507,120,578C
207573,120,578C
207616,120,578C
207682,120,578C
207747,120,578C
207212,120,6291
207214,120,6291
207215,120,6291
207216,120,6291
207263,120,6291
207271,120,6291
207316,120,6291
207320,120,6291
207322,120,6291
207349,120,6291
207356,120,6291
207357,120,6291
207380,120,6291
207393,120,6291
207399,120,6291
207416,120,6291
207441,120,6291
207446,120,6291
207460,120,6291
207461,120,6291
207462,120,6291
207479,120,6291
207485,120,6291
207491,120,6291
207540,120,6291
207542,120,6291
207551,120,6291
207557,120,6291
207570,120,6291
207592,120,6291
207598,120,6291
207649,120,6291
207660,120,6291
207717,120,6291
207731,120,6291
207740,120,6291
207754,120,6291
207890,120,6291
207904,120,6291
207931,120,6291
207944,120,6291
207949,120,6291
207975,120,6291
207200,120,6386
207205,120,6386
207209,120,6386
207210,120,6386
207217,120,6386
207227,120,6386
207231,120,6386
207232,120,6386
207233,120,6386
207240,120,6386
207242,120,6386
207248,120,6386
207249,120,6386
207256,120,6386
207267,120,6386
207270,120,6386
207272,120,6386
207274,120,6386
207279,120,6386
207280,120,6386
207290,120,6386
207298,120,6386
207310,120,6386
207314,120,6386
207315,120,6386
207317,120,6386
207323,120,6386
207330,120,6386
207337,120,6386
207340,120,6386
207341,120,6386
207343,120,6386
207350,120,6386
207381,120,6386
207390,120,6386
207400,120,6386
207402,120,6386
207418,120,6386
207431,120,6386
207432,120,6386
207436,120,6386
207447,120,6386
207449,120,6386
207458,120,6386
207468,120,6386
207478,120,6386
207480,120,6386
207484,120,6386
207500,120,6386
207502,120,6386
207504,120,6386
207505,120,6386
207509,120,6386
207515,120,6386
207520,120,6386
207522,120,6386
207530,120,6386
207531,120,6386
207576,120,6386
207577,120,6386
207578,120,6386
207595,120,6386
207604,120,6386
207631,120,6386
207650,120,6386
207653,120,6386
207659,120,6386
207670,120,6386
207691,120,6386
207694,120,6386
207712,120,6386
207713,120,6386
207714,120,6386
207730,120,6386
207745,120,6386
207751,120,6386
207812,120,6386
207844,120,6386
207852,120,6386
207951,120,6386
207219,120,6664
207252,120,6664
207289,120,6664
207331,120,6664
207332,120,6664
207408,120,6664
207417,120,6664
207450,120,6664
207610,120,6664
207891,120,6664
207313,120,6889
207409,120,6889
207423,120,6889
207602,120,6889
207218,120,7421
207299,120,7421
207556,120,7421
207802,120,7421
207228,120,7777
207239,120,7777
207360,120,7777
207464,120,7777
207518,120,805E
207261,120,882G
207606,120,882G
207701,120,8933
207706,120,8933
207213,120,9346
207221,120,9346
207226,120,9346
207319,120,9346
207433,120,9346
207470,120,9346
207510,120,9346
207512,120,9346
207514,120,9346
207615,120,9346
207692,120,9346
207203,120,9472
207204,120,9472
207710,120,9472
207295,120,989E
207352,120,989E
207424,120,989E
207466,120,989E
207517,120,989E
207558,120,989E
207579,120,989E
207614,120,989E
207808,120,989E
207956,120,989E
207275,120,9924
603278,122,0038
603478,122,0039
603495,122,0039
603529,122,0039
603887,122,0039
603255,122,0042
603774,122,0043
603469,122,0045
603526,122,0045
603648,122,0045
603735,122,0045
603796,122,0045
603798,122,0045
603456,122,0047
603710,122,0047
603746,122,0047
603927,122,0047
603938,122,0047
603269,122,0049
603364,122,0049
603776,122,0049
603859,122,0049
603875,122,0049
603654,122,0050
603688,122,0050
603480,122,033D
603935,122,033D
603296,122,2527
603389,122,2527
603546,122,2527
603581,122,2527
603610,122,2527
603617,122,2527
603657,122,2527
603670,122,2527
603681,122,2527
603689,122,2527
603717,122,2527
603758,122,2527
603822,122,2527
603856,122,2527
603953,122,2527
603965,122,2527
603310,122,2698
603509,122,2698
603593,122,2698
603701,122,314C
603813,122,314C
603855,122,314C
603872,122,314C
603906,122,314C
603948,122,314C
603428,122,3320
603464,122,3320
603544,122,3320
603588,122,3320
603465,122,3321
603306,122,3454
603259,122,4017
603280,122,4017
603287,122,4017
603294,122,4017
603301,122,4017
603326,122,4017
603331,122,4017
603346,122,4017
603369,122,4017
603379,122,4017
603499,122,4017
603556,122,4017
603565,122,4017
603567,122,4017
603574,122,4017
603576,122,4017
603583,122,4017
603614,122,4017
603618,122,4017
603678,122,4017
603684,122,4017
603709,122,4017
603725,122,4017
603728,122,4017
603733,122,4017
603741,122,4017
603769,122,4017
603780,122,4017
603782,122,4017
603819,122,4017
603871,122,4017
603873,122,4017
603874,122,4017
603923,122,4017
603951,122,4017
603952,122,4017
603967,122,4017
603992,122,4017
603203,122,4036
603247,122,4036
603289,122,4036
603320,122,4036
603322,122,4036
603339,122,4036
603380,122,4036
603408,122,4036
603409,122,4036
603479,122,4036
603502,122,4036
603507,122,4036
603531,122,4036
603553,122,4036
603560,122,4036
603571,122,4036
603609,122,4036
603738,122,4036
603767,122,4036
603781,122,4036
603785,122,4036
603854,122,4036
603867,122,4036
603930,122,4036
603957,122,4036
603970,122,4036
603978,122,4036
603371,122,4053
603373,122,4053
603410,122,4053
603418,122,4053
603439,122,4053
603606,122,4053
603612,122,4053
603685,122,4053
603693,122,4053
603706,122,4053
603821,122,4053
603834,122,4053
603910,122,4053
603200,122,4112
603210,122,4112
603213,122,4112
603216,122,4112
603232,122,4112
603244,122,4112
603260,122,4112
603277,122,4112
603291,122,4112
603292,122,4112
603343,122,4112
603347,122,4112
603384,122,4112
603392,122,4112
603397,122,4112
603458,122,4112
603488,122,4112
603489,122,4112
603510,122,4112
603580,122,4112
603705,122,4112
603708,122,4112
603715,122,4112
603808,122,4112
603814,122,4112
603836,122,4112
603840,122,4112
603841,122,4112
603877,122,4112
603902,122,4112
603961,122,4112
603974,122,4112
603975,122,4112
603977,122,4112
603206,122,4206
603238,122,4206
603251,122,4206
603283,122,4206
603295,122,4206
603328,122,4206
603407,122,4206
603413,122,4206
603501,122,4206
603535,122,4206
603589,122,4206
603601,122,4206
603724,122,4206
603842,122,4206
603862,122,4206
603913,122,4206
603314,122,4286
603319,122,4286
603327,122,4286
603459,122,4286
603545,122,4286
603727,122,4286
603757,122,4286
603832,122,4286
603845,122,4286
603243,122,497G
603400,122,497G
207339,122,5111
207438,122,5111
207439,122,5111
207451,122,5111
207475,122,5111
207486,122,5111
207658,122,5111
207698,122,5111
207748,122,5111
603212,122,5113
603221,122,5113
603222,122,5113
603223,122,5113
603224,122,5113
603225,122,5113
603226,122,5113
603227,122,5113
603228,122,5113
603229,122,5113
603230,122,5113
603236,122,5113
603237,122,5113
603239,122,5113
603240,122,5113
603241,122,5113
603242,122,5113
603245,122,5113
603246,122,5113
603248,122,5113
603249,122,5113
603253,122,5113
603262,122,5113
603266,122,5113
603267,122,5113
603268,122,5113
603271,122,5113
603272,122,5113
603279,122,5113
603281,122,5113
603284,122,5113
603286,122,5113
603293,122,5113
603302,122,5113
603308,122,5113
603323,122,5113
603329,122,5113
603330,122,5113
603332,122,5113
603334,122,5113
603335,122,5113
603336,122,5113
603337,122,5113
603342,122,5113
603352,122,5113
603354,122,5113
603355,122,5113
603356,122,5113
603357,122,5113
603358,122,5113
603362,122,5113
603363,122,5113
603366,122,5113
603367,122,5113
603374,122,5113
603376,122,5113
603378,122,5113
603382,122,5113
603383,122,5113
603385,122,5113
603394,122,5113
603399,122,5113
603421,122,5113
603422,122,5113
603423,122,5113
603424,122,5113
603425,122,5113
603426,122,5113
603427,122,5113
603429,122,5113
603430,122,5113
603431,122,5113
603432,122,5113
603433,122,5113
603434,122,5113
603435,122,5113
603436,122,5113
603437,122,5113
603440,122,5113
603442,122,5113
603443,122,5113
603444,122,5113
603445,122,5113
603446,122,5113
603447,122,5113
603448,122,5113
603449,122,5113
603463,122,5113
603466,122,5113
603467,122,5113
603471,122,5113
603472,122,5113
603473,122,5113
603474,122,5113
603476,122,5113
603482,122,5113
603483,122,5113
603485,122,5113
603487,122,5113
603492,122,5113
603497,122,5113
603515,122,5113
603517,122,5113
603522,122,5113
603523,122,5113
603524,122,5113
603525,122,5113
603527,122,5113
603528,122,5113
603532,122,5113
603536,122,5113
603537,122,5113
603538,122,5113
603539,122,5113
603541,122,5113
603542,122,5113
603543,122,5113
603547,122,5113
603549,122,5113
603551,122,5113
603559,122,5113
603561,122,5113
603563,122,5113
603564,122,5113
603569,122,5113
603572,122,5113
603577,122,5113
603578,122,5113
603579,122,5113
603585,122,5113
603586,122,5113
603594,122,5113
603595,122,5113
603596,122,5113
603598,122,5113
603599,122,5113
603615,122,5113
603621,122,5113
603622,122,5113
603623,122,5113
603624,122,5113
603625,122,5113
603626,122,5113
603627,122,5113
603628,122,5113
603629,122,5113
603632,122,5113
603633,122,5113
603634,122,5113
603635,122,5113
603636,122,5113
603639,122,5113
603640,122,5113
603641,122,5113
603642,122,5113
603643,122,5113
603644,122,5113
603645,122,5113
603646,122,5113
603647,122,5113
603650,122,5113
603652,122,5113
603653,122,5113
603655,122,5113
603656,122,5113
603659,122,5113
603663,122,5113
603664,122,5113
603665,122,5113
603666,122,5113
603668,122,5113
603669,122,5113
603672,122,5113
603673,122,5113
603679,122,5113
603683,122,5113
603692,122,5113
603695,122,5113
603726,122,5113
603736,122,5113
603740,122,5113
603742,122,5113
603743,122,5113
603744,122,5113
603745,122,5113
603747,122,5113
603749,122,5113
603750,122,5113
603752,122,5113
603753,122,5113
603755,122,5113
603756,122,5113
603763,122,5113
603764,122,5113
603768,122,5113
603771,122,5113
603772,122,5113
603773,122,5113
603775,122,5113
603777,122,5113
603778,122,5113
603783,122,5113
603786,122,5113
603787,122,5113
603788,122,5113
603791,122,5113
603795,122,5113
603823,122,5113
603826,122,5113
603827,122,5113
603835,122,5113
603837,122,5113
603838,122,5113
603846,122,5113
603847,122,5113
603863,122,5113
